Rec #,Establishment ID,Inspection ID,Establishment Name,Establishment Type,Establishment Address,Latitude,Longitude,Establishment Status,Min. Inspections Per Year,Infraction Details,Inspection Date,Severity,Action,Outcome,Amount Fined
14520,10500399,105173735,FRESHII,Food Take Out,700 KING ST W,43.64391,-79.40318,Pass,2,,05/15/2023,,,,
14521,9005779,105173707,FUDGER HOUSE SSLTC,Nursing Home / Home for the Aged,439 SHERBOURNE ST,43.66628,-79.37369,Pass,3,,05/15/2023,,,,
14522,10373198,105173578,GALLERIA SUPERMARKET,Supermarket,"865 YORK MILLS RD, Unit-1",43.75431,-79.34959,Pass,2,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1),05/15/2023,C - Crucial,Notice to Comply,,
14523,10373198,105173578,GALLERIA SUPERMARKET,Supermarket,"865 YORK MILLS RD, Unit-1",43.75431,-79.34959,Pass,2,Use food equipment not in good repair - Sec.  8(1)(b)  ,05/15/2023,S - Significant,Notice to Comply,,
14524,10373198,105173578,GALLERIA SUPERMARKET,Supermarket,"865 YORK MILLS RD, Unit-1",43.75431,-79.34959,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,05/15/2023,M - Minor,Notice to Comply,,
14525,9422907,105173647,GATEWAY ON THE GO,Food Take Out,5697 YONGE ST,43.78268,-79.41584,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,05/15/2023,NA - Not Applicable,Notice to Comply,,
14526,10725856,105170144,GHAZALE,Restaurant,3180 LAKE SHORE BLVD W,43.59813,-79.51874,Pass,2,,05/15/2023,,,,
14527,10755326,105173295,HANA RAMEN,Restaurant,1891 KENNEDY RD,43.76688,-79.28054,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,05/15/2023,M - Minor,Notice to Comply,,
14528,10407223,105173903,HARVEY'S SWISS CHALET EXPRESS,Restaurant,49 EGLINTON AVE E,43.70688,-79.39639,Pass,2,,05/15/2023,,,,
14529,10552995,105173589,HERO CERTIFIED BURGERS,Restaurant,2018 QUEEN ST E,43.67048,-79.29916,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/15/2023,M - Minor,Notice to Comply,,
14530,10552995,105173589,HERO CERTIFIED BURGERS,Restaurant,2018 QUEEN ST E,43.67048,-79.29916,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),05/15/2023,S - Significant,Corrected During Inspection,,
14531,9017039,105173721,HIPPO NURSERY SCHOOL,Child Care - Food Preparation,729 ST CLAIR AVE W,43.68114,-79.42748,Pass,3,,05/15/2023,,,,
